problem_ID,problem_set_ID,question,filename,q_len
2291,161,"\newpage
",9-8DN-Similarity-review.tex,9
806,57,"\newpage
",5-11bExam_Transformations.tex,9
2074,143,"\newpage
",8-7bPreExam_Area+volume.tex,9
809,57,"\newpage
",5-11bExam_Transformations.tex,9
2288,161,"\newpage
",9-8DN-Similarity-review.tex,9
812,57,"\newpage
",5-11bExam_Transformations.tex,9
2080,144,"\newpage
",8-8Exam_Area+volume.tex,9
1676,117,"\newpage
",7-7bExam-Similarity.tex,9
1673,117,"\newpage
",7-7bExam-Similarity.tex,9
820,57,"\newpage
",5-11bExam_Transformations.tex,9
1670,117,"\newpage
",7-7bExam-Similarity.tex,9
2285,161,"\newpage
",9-8DN-Similarity-review.tex,9
1667,117,"\newpage
",7-7bExam-Similarity.tex,9
1663,117,"\newpage
",7-7bExam-Similarity.tex,9
831,58,"\newpage
",5-1CW_dilation-construction.tex,9
815,57,"\newpage
",5-11bExam_Transformations.tex,9
2272,160,"\newpage
",9-7CW-Similarity-review.tex,9
1752,127,"\newpage
",8-12bDN_Compound-volume.tex,9
2047,142,"\newpage
",8-7DN_Unit-review.tex,9
2381,165,"\newpage
",10-1DN_Trig.tex,9
1856,132,"\newpage
",8-2bDN_Estimation.tex,9
2375,164,"\newpage
",9-9bExam-transformations.tex,9
428,35,"\newpage
",3-1HW_Volume+vertical-angles.tex,9
1852,132,"\newpage
",8-2bDN_Estimation.tex,9
2371,164,"\newpage
",9-9bExam-transformations.tex,9
444,37,"\newpage
",3-2DN_Area+volume.tex,9
2368,164,"\newpage
",9-9bExam-transformations.tex,9
1839,131,"\newpage
",8-2DN_Estimation.tex,9
450,38,"\newpage
",3-2HW_Segments+area.tex,9
1834,131,"\newpage
",8-2DN_Estimation.tex,9
469,41,"\newpage
",3-3HW_Segments+area.tex,9
2365,164,"\newpage
",9-9bExam-transformations.tex,9
1830,131,"\newpage
",8-2DN_Estimation.tex,9
2038,142,"\newpage
",8-7DN_Unit-review.tex,9
2030,141,"\newpage
",8-6cDN_Circle-area.tex,9
415,33,"\newpage
",2-9HW_Calculations.tex,9
1861,132,"\newpage
",8-2bDN_Estimation.tex,9
1865,133,"\newpage
",8-3CW_Circle-terminology.tex,9
1896,133,"\newpage
",8-3CW_Circle-terminology.tex,9
1892,133,"\newpage
",8-3CW_Circle-terminology.tex,9
1890,133,"\newpage
",8-3CW_Circle-terminology.tex,9
1886,133,"\newpage
",8-3CW_Circle-terminology.tex,9
1883,133,"\newpage
",8-3CW_Circle-terminology.tex,9
1880,133,"\newpage
",8-3CW_Circle-terminology.tex,9
364,30,"\newpage
",2-8DN_Constructions.tex,9
510,45,"\newpage
",3-9Exam_Volume+angle-bisectors.tex,9
371,31,"\newpage
",2-8HW_Parameter-solving.tex,9
2388,166,"\newpage
",10-1bDN_Trig.tex,9
1869,133,"\newpage
",8-3CW_Circle-terminology.tex,9
2026,141,"\newpage
",8-6cDN_Circle-area.tex,9
390,32,"\newpage
",2-9Exam_area-distance.tex,9
392,32,"\newpage
",2-9Exam_area-distance.tex,9
401,32,"\newpage
",2-9Exam_area-distance.tex,9
405,32,"\newpage
",2-9Exam_area-distance.tex,9
1872,133,"\newpage
",8-3CW_Circle-terminology.tex,9
513,45,"\newpage
",3-9Exam_Volume+angle-bisectors.tex,9
1822,130,"\newpage
",8-1DN_Circles.tex,9
2353,164,"\newpage
",9-9bExam-transformations.tex,9
621,47,"\newpage
",4-11Exam_Transversals.tex,9
623,47,"\newpage
",4-11Exam_Transversals.tex,9
627,47,"\newpage
",4-11Exam_Transversals.tex,9
630,47,"\newpage
",4-11Exam_Transversals.tex,9
633,47,"\newpage
",4-11Exam_Transversals.tex,9
2329,163,"\newpage
",9-9Exam-transformations.tex,9
1775,129,"\newpage
",8-1DN_Circle-trajectories.tex,9
2333,163,"\newpage
",9-9Exam-transformations.tex,9
643,47,"\newpage
",4-11Exam_Transversals.tex,9
2044,142,"\newpage
",8-7DN_Unit-review.tex,9
1770,128,"\newpage
",8-13DN_Compound-volume.tex,9
651,47,"\newpage
",4-11Exam_Transversals.tex,9
654,47,"\newpage
",4-11Exam_Transversals.tex,9
657,47,"\newpage
",4-11Exam_Transversals.tex,9
1765,128,"\newpage
",8-13DN_Compound-volume.tex,9
1760,128,"\newpage
",8-13DN_Compound-volume.tex,9
646,47,"\newpage
",4-11Exam_Transversals.tex,9
1755,127,"\newpage
",8-12bDN_Compound-volume.tex,9
618,47,"\newpage
",4-11Exam_Transversals.tex,9
615,47,"\newpage
",4-11Exam_Transversals.tex,9
533,45,"\newpage
",3-9Exam_Volume+angle-bisectors.tex,9
1816,130,"\newpage
",8-1DN_Circles.tex,9
537,45,"\newpage
",3-9Exam_Volume+angle-bisectors.tex,9
1811,130,"\newpage
",8-1DN_Circles.tex,9
556,46,"\newpage
",4-10PreExam_Transversals.tex,9
1805,130,"\newpage
",8-1DN_Circles.tex,9
560,46,"\newpage
",4-10PreExam_Transversals.tex,9
1784,129,"\newpage
",8-1DN_Circle-trajectories.tex,9
2347,163,"\newpage
",9-9Exam-transformations.tex,9
1796,130,"\newpage
",8-1DN_Circles.tex,9
2343,163,"\newpage
",9-9Exam-transformations.tex,9
2340,163,"\newpage
",9-9Exam-transformations.tex,9
599,46,"\newpage
",4-10PreExam_Transversals.tex,9
2337,163,"\newpage
",9-9Exam-transformations.tex,9
1790,129,"\newpage
",8-1DN_Circle-trajectories.tex,9
603,46,"\newpage
",4-10PreExam_Transversals.tex,9
581,46,"\newpage
",4-10PreExam_Transversals.tex,9
1614,115,"\newpage
",7-6bCW_Tangent+mixed.tex,9
1609,115,"\newpage
",7-6bCW_Tangent+mixed.tex,9
904,69,"\newpage
",5-9DN_Multi-step.tex,9
1175,80,"\newpage
",6-12bExam-Analytic-geometry.tex,9
1440,98,"\newpage
",7-10bDN_Transformations.tex,9
1180,80,"\newpage
",6-12bExam-Analytic-geometry.tex,9
2207,156,"\newpage
",9-4DN-reflection.tex,9
1434,97,"\newpage
",7-10DN_Transformations.tex,9
2158,149,"\newpage
",9-2bCW_Composition.tex,9
1427,96,"\newpage
",6-9bDN_analytic-proof.tex,9
1187,80,"\newpage
",6-12bExam-Analytic-geometry.tex,9
2202,155,"\newpage
",9-4CW_Triangle-congruence-proof.tex,9
1194,80,"\newpage
",6-12bExam-Analytic-geometry.tex,9
2199,155,"\newpage
",9-4CW_Triangle-congruence-proof.tex,9
1421,95,"\newpage
",6-9HW_pretest-graphing.tex,9
1417,95,"\newpage
",6-9HW_pretest-graphing.tex,9
1210,81,"\newpage
",6-1DN_graphing.tex,9
1218,82,"\newpage
",6-3CW_Absense-packet.tex,9
1171,80,"\newpage
",6-12bExam-Analytic-geometry.tex,9
1168,80,"\newpage
",6-12bExam-Analytic-geometry.tex,9
1444,98,"\newpage
",7-10bDN_Transformations.tex,9
1161,79,"\newpage
",6-12Exam-Analytic-geometry.tex,9
1128,79,"\newpage
",6-12Exam-Analytic-geometry.tex,9
1471,101,"\newpage
",7-1DN_Graphing-review.tex,9
1132,79,"\newpage
",6-12Exam-Analytic-geometry.tex,9
2225,159,"\newpage
",9-5bExam-transformations.tex,9
1137,79,"\newpage
",6-12Exam-Analytic-geometry.tex,9
1467,101,"\newpage
",7-1DN_Graphing-review.tex,9
1464,101,"\newpage
",7-1DN_Graphing-review.tex,9
1220,82,"\newpage
",6-3CW_Absense-packet.tex,9
2148,148,"\newpage
",9-1bDN_Correspondence.tex,9
2220,158,"\newpage
",9-4bDN-reflection.tex,9
1459,100,"\newpage
",7-12DN_Transformation.tex,9
1151,79,"\newpage
",6-12Exam-Analytic-geometry.tex,9
1155,79,"\newpage
",6-12Exam-Analytic-geometry.tex,9
2214,157,"\newpage
",9-4bCW_Composition.tex,9
1158,79,"\newpage
",6-12Exam-Analytic-geometry.tex,9
1451,99,"\newpage
",7-11bDN_Transformations.tex,9
1144,79,"\newpage
",6-12Exam-Analytic-geometry.tex,9
2193,154,"\newpage
",9-3bHW_Transformations.tex,9
1224,82,"\newpage
",6-3CW_Absense-packet.tex,9
1412,95,"\newpage
",6-9HW_pretest-graphing.tex,9
1384,95,"\newpage
",6-9HW_pretest-graphing.tex,9
1296,87,"\newpage
",6-7DNQ_Distance+slope.tex,9
1379,95,"\newpage
",6-9HW_pretest-graphing.tex,9
1376,95,"\newpage
",6-9HW_pretest-graphing.tex,9
2170,151,"\newpage
",9-3DN_Composition.tex,9
1302,88,"\newpage
",6-7EN_Midpoint-graphs.tex,9
1372,95,"\newpage
",6-9HW_pretest-graphing.tex,9
1294,87,"\newpage
",6-7DNQ_Distance+slope.tex,9
1368,95,"\newpage
",6-9HW_pretest-graphing.tex,9
1312,89,"\newpage
",6-7HW_7-05Pretest.tex,9
1317,89,"\newpage
",6-7HW_7-05Pretest.tex,9
1364,94,"\newpage
",6-9DN_analytic-proof.tex,9
1334,91,"\newpage
",6-8DN_Euclids-orchard.tex,9
1344,92,"\newpage
",6-8HW_tangent-trig-ratios.tex,9
1361,94,"\newpage
",6-9DN_analytic-proof.tex,9
1357,94,"\newpage
",6-9DN_analytic-proof.tex,9
1308,89,"\newpage
",6-7HW_7-05Pretest.tex,9
1125,79,"\newpage
",6-12Exam-Analytic-geometry.tex,9
1282,86,"\newpage
",6-7CW_Midpoint-graphs.tex,9
1393,95,"\newpage
",6-9HW_pretest-graphing.tex,9
1228,82,"\newpage
",6-3CW_Absense-packet.tex,9
1230,82,"\newpage
",6-3CW_Absense-packet.tex,9
1409,95,"\newpage
",6-9HW_pretest-graphing.tex,9
1233,82,"\newpage
",6-3CW_Absense-packet.tex,9
1239,82,"\newpage
",6-3CW_Absense-packet.tex,9
1243,82,"\newpage
",6-3CW_Absense-packet.tex,9
2187,153,"\newpage
",9-3bDN_Composition.tex,9
1389,95,"\newpage
",6-9HW_pretest-graphing.tex,9
1406,95,"\newpage
",6-9HW_pretest-graphing.tex,9
1403,95,"\newpage
",6-9HW_pretest-graphing.tex,9
1249,82,"\newpage
",6-3CW_Absense-packet.tex,9
1399,95,"\newpage
",6-9HW_pretest-graphing.tex,9
1262,84,"\newpage
",6-6DN_Distance+slope.tex,9
1270,85,"\newpage
",6-6bDN_Distance+slope.tex,9
1274,85,"\newpage
",6-6bDN_Distance+slope.tex,9
1396,95,"\newpage
",6-9HW_pretest-graphing.tex,9
1246,82,"\newpage
",6-3CW_Absense-packet.tex,9
1476,102,"\newpage
",7-1HW_Similarity-ratios.tex,9
2140,147,"\newpage
",9-1DN_Correspondence.tex,9
1119,78,"\newpage
",6-12DN_tangent-trig-ratios.tex,9
975,72,"\newpage
",6-10DN-reQ_Distance+slope.tex,9
2107,144,"\newpage
",8-8Exam_Area+volume.tex,9
977,72,"\newpage
",6-10DN-reQ_Distance+slope.tex,9
1564,112,"\newpage
",7-5bCW_Graphing+isosceles.tex,9
1562,112,"\newpage
",7-5bCW_Graphing+isosceles.tex,9
982,73,"\newpage
",6-10bCW_Dilation.tex,9
2110,144,"\newpage
",8-8Exam_Area+volume.tex,9
2101,144,"\newpage
",8-8Exam_Area+volume.tex,9
986,73,"\newpage
",6-10bCW_Dilation.tex,9
991,73,"\newpage
",6-10bCW_Dilation.tex,9
995,73,"\newpage
",6-10bCW_Dilation.tex,9
1550,110,"\newpage
",7-5DN_Similarity+tangent.tex,9
1004,73,"\newpage
",6-10bCW_Dilation.tex,9
1007,73,"\newpage
",6-10bCW_Dilation.tex,9
2249,159,"\newpage
",9-5bExam-transformations.tex,9
1541,110,"\newpage
",7-5DN_Similarity+tangent.tex,9
1557,111,"\newpage
",7-5HW_Symmetry.tex,9
1010,73,"\newpage
",6-10bCW_Dilation.tex,9
2257,160,"\newpage
",9-7CW-Similarity-review.tex,9
961,71,"\newpage
",5-9bDN_Multi-step.tex,9
908,69,"\newpage
",5-9DN_Multi-step.tex,9
912,69,"\newpage
",5-9DN_Multi-step.tex,9
1598,115,"\newpage
",7-6bCW_Tangent+mixed.tex,9
2268,160,"\newpage
",9-7CW-Similarity-review.tex,9
1594,115,"\newpage
",7-6bCW_Tangent+mixed.tex,9
931,70,"\newpage
",5-9PreExam_Transformations.tex,9
2264,160,"\newpage
",9-7CW-Similarity-review.tex,9
1569,112,"\newpage
",7-5bCW_Graphing+isosceles.tex,9
1590,114,"\newpage
",7-6HW_Symmetry.tex,9
945,71,"\newpage
",5-9bDN_Multi-step.tex,9
2097,144,"\newpage
",8-8Exam_Area+volume.tex,9
949,71,"\newpage
",5-9bDN_Multi-step.tex,9
1577,112,"\newpage
",7-5bCW_Graphing+isosceles.tex,9
953,71,"\newpage
",5-9bDN_Multi-step.tex,9
958,71,"\newpage
",5-9bDN_Multi-step.tex,9
1573,112,"\newpage
",7-5bCW_Graphing+isosceles.tex,9
2261,160,"\newpage
",9-7CW-Similarity-review.tex,9
1899,133,"\newpage
",8-3CW_Circle-terminology.tex,9
1014,73,"\newpage
",6-10bCW_Dilation.tex,9
1020,73,"\newpage
",6-10bCW_Dilation.tex,9
1505,105,"\newpage
",7-2bDN_Graphing-practice.tex,9
1074,76,"\newpage
",6-11HW_pretest-angles.tex,9
1079,76,"\newpage
",6-11HW_pretest-angles.tex,9
1084,76,"\newpage
",6-11HW_pretest-angles.tex,9
1088,76,"\newpage
",6-11HW_pretest-angles.tex,9
1498,105,"\newpage
",7-2bDN_Graphing-practice.tex,9
2233,159,"\newpage
",9-5bExam-transformations.tex,9
2237,159,"\newpage
",9-5bExam-transformations.tex,9
1092,76,"\newpage
",6-11HW_pretest-angles.tex,9
1491,104,"\newpage
",7-2HW_Similarity-ratios.tex,9
1488,104,"\newpage
",7-2HW_Similarity-ratios.tex,9
1107,77,"\newpage
",6-11bDN_Transformations.tex,9
1485,104,"\newpage
",7-2HW_Similarity-ratios.tex,9
2134,146,"\newpage
",8-9DN_Circle-equation.tex,9
2229,159,"\newpage
",9-5bExam-transformations.tex,9
1480,103,"\newpage
",7-2DN_Tangent.tex,9
1096,76,"\newpage
",6-11HW_pretest-angles.tex,9
1017,73,"\newpage
",6-10bCW_Dilation.tex,9
1067,76,"\newpage
",6-11HW_pretest-angles.tex,9
1061,76,"\newpage
",6-11HW_pretest-angles.tex,9
2245,159,"\newpage
",9-5bExam-transformations.tex,9
1023,73,"\newpage
",6-10bCW_Dilation.tex,9
1028,73,"\newpage
",6-10bCW_Dilation.tex,9
1032,73,"\newpage
",6-10bCW_Dilation.tex,9
1532,109,"\newpage
",7-4bCW_Tangent.tex,9
1528,109,"\newpage
",7-4bCW_Tangent.tex,9
1036,74,"\newpage
",6-10bDN_Graphing.tex,9
2123,145,"\newpage
",8-9CW_Circle-equation.tex,9
1042,75,"\newpage
",6-11DN_Transformations.tex,9
2118,145,"\newpage
",8-9CW_Circle-equation.tex,9
1046,75,"\newpage
",6-11DN_Transformations.tex,9
1517,107,"\newpage
",7-3HW_AA-similarity.tex,9
1050,75,"\newpage
",6-11DN_Transformations.tex,9
2241,159,"\newpage
",9-5bExam-transformations.tex,9
1053,75,"\newpage
",6-11DN_Transformations.tex,9
1510,106,"\newpage
",7-3DN_Tangent.tex,9
1522,109,"\newpage
",7-4bCW_Tangent.tex,9
2021,141,"\newpage
",8-6cDN_Circle-area.tex,9
2322,163,"\newpage
",9-9Exam-transformations.tex,9
118,6,"\newpage
",1-4HW-Intro.tex,9
2406,168,"\newpage
",10-2bDN_Analytics-review.tex,9
100,6,"\newpage
",1-4HW-Intro.tex,9
1940,135,"\newpage
",8-4cDN_Estimation.tex,9
106,6,"\newpage
",1-4HW-Intro.tex,9
1903,133,"\newpage
",8-3CW_Circle-terminology.tex,9
1997,139,"\newpage
",8-6DN_Solid-rotations.tex,9
1977,138,"\newpage
",8-6DN_Cross-sections.tex,9
228,12,"\newpage
",1-7Exam-Intro.tex,9
109,6,"\newpage
",1-4HW-Intro.tex,9
155,6,"\newpage
",1-4HW-Intro.tex,9
251,13,"\newpage
",1-7Exam-corrections.tex,9
249,13,"\newpage
",1-7Exam-corrections.tex,9
2005,140,"\newpage
",8-6bDN_Solid-rotations.tex,9
35,5,"\newpage
",1-3HW_Equilateral-triangle.tex,9
10,1,"\newpage
",1-1DNQ_Distance+slope.tex,9
266,15,"\newpage
",1-7HW_Calculations.tex,9
123,6,"\newpage
",1-4HW-Intro.tex,9
145,6,"\newpage
",1-4HW-Intro.tex,9
127,6,"\newpage
",1-4HW-Intro.tex,9
2431,170,"\newpage
",10-4bDN_Analytics-review.tex,9
1969,138,"\newpage
",8-6DN_Cross-sections.tex,9
1961,137,"\newpage
",8-5DN_Volumes.tex,9
239,13,"\newpage
",1-7Exam-corrections.tex,9
130,6,"\newpage
",1-4HW-Intro.tex,9
1972,138,"\newpage
",8-6DN_Cross-sections.tex,9
1914,134,"\newpage
",8-3DN_Density.tex,9
133,6,"\newpage
",1-4HW-Intro.tex,9
136,6,"\newpage
",1-4HW-Intro.tex,9
1910,134,"\newpage
",8-3DN_Density.tex,9
175,8,"\newpage
",1-5CW_Angle-terminology.tex,9
225,12,"\newpage
",1-7Exam-Intro.tex,9
2011,140,"\newpage
",8-6bDN_Solid-rotations.tex,9
79,6,"\newpage
",1-4HW-Intro.tex,9
66,6,"\newpage
",1-4HW-Intro.tex,9
73,6,"\newpage
",1-4HW-Intro.tex,9
247,13,"\newpage
",1-7Exam-corrections.tex,9
62,6,"\newpage
",1-4HW-Intro.tex,9
210,12,"\newpage
",1-7Exam-Intro.tex,9
196,10,"\newpage
",1-6DN_Angle-pairs.tex,9
151,6,"\newpage
",1-4HW-Intro.tex,9
1982,138,"\newpage
",8-6DN_Cross-sections.tex,9
192,9,"\newpage
",1-5HW_Pretest-segments-intro.tex,9
83,6,"\newpage
",1-4HW-Intro.tex,9
189,9,"\newpage
",1-5HW_Pretest-segments-intro.tex,9
95,6,"\newpage
",1-4HW-Intro.tex,9
1920,134,"\newpage
",8-3DN_Density.tex,9
86,6,"\newpage
",1-4HW-Intro.tex,9
217,12,"\newpage
",1-7Exam-Intro.tex,9
2410,168,"\newpage
",10-2bDN_Analytics-review.tex,9
52,6,"\newpage
",1-4HW-Intro.tex,9
222,12,"\newpage
",1-7Exam-Intro.tex,9
1991,139,"\newpage
",8-6DN_Solid-rotations.tex,9
3,0,"\newpage
",1-1CW_Measurement.tex,9
244,13,"\newpage
",1-7Exam-corrections.tex,9
299,21,"\newpage
",2-4HW_Parameter-solving.tex,9
183,9,"\newpage
",1-5HW_Pretest-segments-intro.tex,9
1936,135,"\newpage
",8-4cDN_Estimation.tex,9
5,0,"\newpage
",1-1CW_Measurement.tex,9
142,6,"\newpage
",1-4HW-Intro.tex,9
933,70,"\newpage

",5-9PreExam_Transformations.tex,10
1994,139,"\newpage

",8-6DN_Solid-rotations.tex,10
30,4,"\newpage

",1-3DN_Function-intercepts.tex,10
937,70,"\newpage

",5-9PreExam_Transformations.tex,10
940,70,"\newpage

",5-9PreExam_Transformations.tex,10
1584,113,"\newpage

",7-6DN_Symmetry.tex,10
1057,76,"\newpage

",6-11HW_pretest-angles.tex,10
1931,135,"\newpage 
",8-4cDN_Estimation.tex,10
506,45,"\newpage

",3-9Exam_Volume+angle-bisectors.tex,10
1115,77,"\newpage

",6-11bDN_Transformations.tex,10
2360,164,"\newpage

",9-9bExam-transformations.tex,10
1111,77,"\newpage

",6-11bDN_Transformations.tex,10
2357,164,"\newpage

",9-9bExam-transformations.tex,10
522,45,"\newpage

",3-9Exam_Volume+angle-bisectors.tex,10
526,45,"\newpage

",3-9Exam_Volume+angle-bisectors.tex,10
529,45,"\newpage

",3-9Exam_Volume+angle-bisectors.tex,10
1076,76,"\newpage 
",6-11HW_pretest-angles.tex,10
272,17,"\newpage

",2-2HW_Midpoint-calcs.tex,10
291,20,"\newpage

",2-4DN_Triangle-area.tex,10
544,45,"\newpage

",3-9Exam_Volume+angle-bisectors.tex,10
571,46,"\newpage

",4-10PreExam_Transversals.tex,10
1197,80,"\newpage

",6-12bExam-Analytic-geometry.tex,10
1201,81,"\newpage

",6-1DN_graphing.tex,10
286,19,"\newpage

",2-3HW_Triangle-area.tex,10
577,46,"\newpage

",4-10PreExam_Transversals.tex,10
1847,132,"\newpage 
",8-2bDN_Estimation.tex,10
590,46,"\newpage

",4-10PreExam_Transversals.tex,10
1207,81,"\newpage

",6-1DN_graphing.tex,10
595,46,"\newpage

",4-10PreExam_Transversals.tex,10
608,46,"\newpage

",4-10PreExam_Transversals.tex,10
549,46,"\newpage

",4-10PreExam_Transversals.tex,10
637,47,"\newpage

",4-11Exam_Transversals.tex,10
925,70,"\newpage

",5-9PreExam_Transformations.tex,10
408,32,"\newpage

",2-9Exam_area-distance.tex,10
705,52,"\newpage

",4-7DN_angle-situations.tex,10
857,62,"\newpage

",5-4DN-similarity-ratios.tex,10
712,52,"\newpage 
",4-7DN_angle-situations.tex,10
1253,83,"\newpage 
",6-4DN_parabola-translation.tex,10
850,62,"\newpage

",5-4DN-similarity-ratios.tex,10
354,29,"\newpage

",2-7Pretest_areas+numberlines.tex,10
717,53,"\newpage

",4-9HW_isosceles-triangles.tex,10
724,54,"\newpage

",5-10DN_Composition.tex,10
843,61,"\newpage 
",5-3DN_area-units.tex,10
731,54,"\newpage

",5-10DN_Composition.tex,10
1327,90,"\newpage 
",6-7bDNQ_Distance+slope.tex,10
737,55,"\newpage

",5-10bDN_Composition.tex,10
1630,116,"\newpage 
",7-7Exam-Similarity.tex,10
1332,91,"\newpage 
",6-8DN_Euclids-orchard.tex,10
340,27,"\newpage

",2-7DNRQ_Segments+area.tex,10
2008,140,"\newpage

",8-6bDN_Solid-rotations.tex,10
2440,171,"\newpage

",10-6DN_Tangent-situations.tex,10
826,57,"\newpage 
",5-11bExam_Transformations.tex,10
332,26,"\newpage

",2-7CW_Modeling.tex,10
823,57,"\newpage

",5-11bExam_Transformations.tex,10
1952,136,"\newpage 
",8-4cEN_Area+volume.tex,10
2419,169,"\newpage

",10-4DN_Tangent-situations.tex,10
803,57,"\newpage

",5-11bExam_Transformations.tex,10
1,0,"\newpage

",1-1CW_Measurement.tex,10
2397,167,"\newpage

",10-2DN_Analytics-review.tex,10
796,57,"\newpage

",5-11bExam_Transformations.tex,10
744,55,"\newpage

",5-10bDN_Composition.tex,10
1876,133,"\newpage

",8-3CW_Circle-terminology.tex,10
279,18," \newpage
",2-3DN_Midpoint+rectangles.tex,10
305,22,"\newpage

",2-5DNQ_Segments+area.tex,10
662,48,"\newpage

",4-4DN_Area+volume.tex,10
383,32,"\newpage

",2-9Exam_area-distance.tex,10
24,3,"\newpage

",1-1HW_Algebra.tex,10
2326,163,"\newpage

",9-9Exam-transformations.tex,10
682,49,"\newpage

",4-5DN_Volume+trapezoid-area.tex,10
380,32,"\newpage

",2-9Exam_area-distance.tex,10
895,68,"\newpage

",5-8DNb-similarity-ratios.tex,10
1277,85,"\newpage

",6-6bDN_Distance+slope.tex,10
396,32,"\newpage

",2-9Exam_area-distance.tex,10
16,2,"\newpage

",1-1DN_Algebra.tex,10
377,32,"\newpage

",2-9Exam_area-distance.tex,10
587,46,"\newpage 

",4-10PreExam_Transversals.tex,11
898,68,"\newpage


",5-8DNb-similarity-ratios.tex,11
1495,105,"  \newpage
",7-2bDN_Graphing-practice.tex,11
386,32,"\newpage 

",2-9Exam_area-distance.tex,11
519,45,"\newpage 

",3-9Exam_Volume+angle-bisectors.tex,11
1603,115,"\newpage  
",7-6bCW_Tangent+mixed.tex,11
2179,152,"  \newpage
",9-3HW_Transformations.tex,11
1100,76,"  \newpage
",6-11HW_pretest-angles.tex,11
2427,170,"\newpage  
",10-4bDN_Analytics-review.tex,11
917,70,"  \newpage
",5-9PreExam_Transformations.tex,11
1352,93,"\newpage


",6-8xHW_Trig-intro.tex,11
922,70,"\newpage


",5-9PreExam_Transformations.tex,11
1147,79,"  \newpage
",6-12Exam-Analytic-geometry.tex,11
2068,143,"  \newpage
",8-7bPreExam_Area+volume.tex,11
1140,79,"  \newpage
",6-12Exam-Analytic-geometry.tex,11
478,42,"  \newpage
",3-5DN_Angle-modeling.tex,11
670,48,"\newpage 

",4-4DN_Area+volume.tex,11
2091,144,"  \newpage
",8-8Exam_Area+volume.tex,11
